"dep","dur","mem","temp","prec","rushhour","rushhour_combined","time","doy","hour","weekday_dummy","month","dur_min_bin","weekend","dur_boxcox"
2021-07-06 15:36:28,1979,"Member",23.1,1,"PM","Rush Hour","15:36:28","07-06","15",1,"Jul",32,"0",11.411279122275
2021-07-06 18:13:18,85,"Member",23.1,1,"PM","Rush Hour","18:13:18","07-06","18",1,"Jul",1,"0",5.60693602490668
2021-07-20 17:20:50,1437,"Member",21.2,1,"PM","Rush Hour","17:20:50","07-20","17",1,"Jul",23,"0",10.7333726422639
2021-07-27 17:52:49,784,"Member",19,1,"PM","Rush Hour","17:52:49","07-27","17",1,"Jul",13,"0",9.50842762616426
2021-08-31 09:42:29,1170,"Member",20.6,0,"AM","Rush Hour","09:42:29","08-31","09",1,"Aug",19,"0",10.3093785264756
2021-08-24 07:41:42,186,"Member",27.2,0,"AM","Rush Hour","07:41:42","08-24","07",1,"Aug",3,"0",6.88336062320746
2021-08-17 09:05:29,188,"Member",21.2,0,"AM","Rush Hour","09:05:29","08-17","09",1,"Aug",3,"0",6.90150202629063
2021-08-17 08:34:28,146,"Member",21.2,0,"AM","Rush Hour","08:34:28","08-17","08",1,"Aug",2,"0",6.47784268262855
2021-08-24 07:05:12,1715,"Member",27.2,0,"AM","Rush Hour","07:05:12","08-24","07",1,"Aug",28,"0",11.1052831653066
2021-08-24 10:28:29,930,"Member",27.2,0,"NonPeak","Non-Rush Hour","10:28:29","08-24","10",1,"Aug",15,"0",9.84612841696294
2021-08-10 20:13:11,451,"Member",26.5,1,"NonPeak","Non-Rush Hour","20:13:11","08-11","20",1,"Aug",7,"0",8.45413134218624
2021-08-03 11:41:06,417,"Member",21.5,1,"NonPeak","Non-Rush Hour","11:41:06","08-03","11",1,"Aug",6,"0",8.30939019496113
2021-08-31 19:54:23,750,"Member",20.6,0,"NonPeak","Non-Rush Hour","19:54:23","08-31","19",1,"Aug",12,"0",9.42170393766016
2021-08-24 20:15:01,349,"Member",27.2,0,"NonPeak","Non-Rush Hour","20:15:01","08-25","20",1,"Aug",5,"0",7.98488894724029
2021-08-17 17:50:29,368,"Member",21.2,0,"PM","Rush Hour","17:50:29","08-17","17",1,"Aug",6,"0",8.08091309177141
2021-08-24 18:56:57,517,"Member",27.2,0,"PM","Rush Hour","18:56:57","08-24","18",1,"Aug",8,"0",8.70909052092778
2021-08-10 16:02:20,1231,"Member",26.5,1,"PM","Rush Hour","16:02:20","08-10","16",1,"Aug",20,"0",10.4133930863639
2021-08-03 16:22:16,301,"Member",21.5,1,"PM","Rush Hour","16:22:16","08-03","16",1,"Aug",5,"0",7.71957573225721
2021-08-24 15:55:52,687,"Member",27.2,0,"PM","Rush Hour","15:55:52","08-24","15",1,"Aug",11,"0",9.25122158304863
2021-09-14 07:34:44,1016,"Member",16.7,0,"AM","Rush Hour","07:34:44","09-14","07",1,"Sep",16,"0",10.0233255643741
2021-09-07 08:47:11,504,"Member",17.9,0,"AM","Rush Hour","08:47:11","09-07","08",1,"Sep",8,"0",8.66128230204817
2021-09-14 08:45:19,501,"Member",16.7,0,"AM","Rush Hour","08:45:19","09-14","08",1,"Sep",8,"0",8.65009234765207
2021-09-07 08:27:50,357,"Member",17.9,0,"AM","Rush Hour","08:27:50","09-07","08",1,"Sep",5,"0",8.02587934468794
2021-09-07 09:59:20,589,"Member",17.9,0,"AM","Rush Hour","09:59:20","09-07","09",1,"Sep",9,"0",8.95579380327847
2021-09-07 11:43:42,3099,"Member",17.9,0,"NonPeak","Non-Rush Hour","11:43:42","09-07","11",1,"Sep",51,"0",12.3989204733657
2021-09-21 12:46:44,809,"Member",20.2,0,"NonPeak","Non-Rush Hour","12:46:44","09-21","12",1,"Sep",13,"0",9.57006352510315
2021-09-28 12:36:06,162,"Member",10.5,1,"NonPeak","Non-Rush Hour","12:36:06","09-28","12",1,"Sep",2,"0",6.65078242037183
